P69723
Q9UBF6
Q9C0K0
Q93034
Q8TEB1
Q15370
Q15369
Q13951
Q13950
Q13761
Q13617
Q01196
Q8WUM4
Q9C0C7
P50402
Q9Y2K1
P29590
P27694
O75531
O15027
O00165
Q15843
Q9ULX6
P52272
Q9NZ08
P36402
Q99081
P04083
O75376
O95817
Q9Y4X5
P14921
Q9NZL4
P68366
Q01581
Q9BWD1
P09693
Q8TF68
P19838
Q8N1F7
P31350
P53007
O00154
Q96ST3
P48651
O43707
O15143
O14745
Q02978
O15379
P52209
Q14318
P31749
Q08117
Q96PK6
Q07065
P49591
P35658
O15533
Q9Y5A9
P43403
P08133
O00268
Q2A7R5
P57088
O14602
Q9H000
Q86UX7
P50416
P07954
O00299
P27986
P11766
Q9UI12
Q9NVA2
Q9NTJ5
Q9H299
Q9BX68
Q96DH6
Q93008
Q8IWZ3
Q8IUR0
Q8IUD2
Q16566
Q12907
Q08379
Q01543
P38117
P35244
P15927
O95239
O75419
O14776
O14578
Q9Y6C9
P14314
O15144
Q99439
Q96A26
Q5JTV8
Q15392
O75955
Q63HN8
P67775
O75390
Q96AE4
P36776
O95466
Q9NSI2
Q8TBM8
Q7Z6Z7
Q13619
Q01130
P62877
P55010
P20701
P04040
O00471
Q9UBX3
Q9NWW5
Q8WWC4
P52565
P07384
P04818
O43149
Q9H9Q2
Q99426
Q96AX1
P46379
P31948
P28065
P28062
P11586
O15117
Q9Y490
Q9Y314
Q9UJU2
Q02790
P34897
P30086
P13073
Q96KA5
Q16836
Q13148
P00338
Q99523
Q93045
Q16881
Q04760
Q00535
O43681
O00483
Q7KZF4
Q5H9R7
Q3KQU3
Q15018
Q14119
Q13586
Q04726
P61769
Q56VL3
P59998
P15531
P05161
P00813
Q9UL42
Q92900
Q8NBX0
P67936
P61011
P31939
P15311
P00491
O95202
O60645
Q9Y6K9
Q9UBM7
Q9NQP4
Q99536
Q96D71
Q15276
Q13423
P60468
P51148
O94979
O43823
Q9Y5M8
Q9UKS7
Q9UKL0
Q14232
Q13098
P61158
P51149
P37837
P18669
P14174
O95373
Q9UBC2
Q9HCE1
Q13885
P06744
O60879
Q9UII2
Q9NX40
Q9H0U4
Q86YV0
Q13620
P61073
P51784
P21912
P18031
P09972
O43617
P18801
P0C1K3
Q9Y3B3
Q9UPT5
Q9H3G5
Q92538
Q15691
Q02447
P61604
P61244
P60842
P51659
P40926
P29401
P04181
O43169
Q9UNS2
Q9NUQ9
Q9H845
Q00688
P40306
P25685
P14927
P06239
P05556
O75330
O43813
O00488
Q9UQ80
Q9UPN9
Q9UNF1
Q9H9B4
Q99497
Q13724
P62875
P13612
O43615
O00743
Q9UKX7
Q9NZ01
Q9BRX2
Q8N1K5
Q7Z406
Q06609
P99999
P63010
P61160
P48735
P42704
P12004
P00367
O60762
O15260
O00170
Q9Y5U2
Q9Y508
Q3MHD2
Q13144
Q10471
P63313
P41240
P27695
P26038
P07919
P04234
O75347
Q96EY1
Q16555
Q15532
O75791
Q9Y5Y2
Q9UNQ2
Q9ULT0
Q9P1F3
Q9NXW2
Q99436
Q96QK1
Q8N1G4
Q13526
Q06587
P62987
P49770
P43307
P35249
P31751
P15153
P00558
Q9Y6N5
Q9UBB4
Q9H0C8
Q96EP5
Q969V3
Q58FF8
Q15363
Q15052
Q13283
Q04917
P61201
P41567
P40763
P35611
P30044
P24928
P14324
P05107
O75663
O75175
O60711
O43488
O14929
Q9BVI4
Q96P70
Q8IYT4
Q71UM5
Q15293
Q14155
Q13363
Q13310
P82914
P63261
P61962
P60174
P49327
P46940
P23258
P00441
O75348
Q9UPN7
Q9P016
Q9NRN7
Q9H4G4
Q8WYJ6
P49755
P42677
P24666
P12270
O14933
O00767
O00182
Q9Y6M9
Q9Y3D3
Q9Y2L9
Q9ULA0
Q9UJX5
Q9UGP4
Q9UEY8
Q9NZN8
Q99627
Q92614
Q92522
Q8WXF1
Q53H12
Q16718
Q13428
P68371
P62942
P62328
P51858
P46783
P37802
P19387
P13674
P13667
P07766
P07195
O60880
O14980
Q9Y6W5
Q9Y6A4
Q9Y5K5
Q9Y3F4
Q9P253
Q9P035
Q9NYU2
Q9NS87
Q9HCN8
Q9H4E7
Q96EY4
Q92905
Q7Z7C8
Q5TBB1
Q56P03
Q52LJ0
Q15942
Q15631
Q15366
Q15084
Q04837
P68104
P49720
P41250
P28288
P28066
P23526
P22314
P17707
P06454
P00403
O75381
O43837
Q9Y4Z0
Q9Y4Y9
Q9Y3A3
Q9Y291
Q9UNZ5
Q9UKV8
Q9UBB5
Q9P021
Q9NS69
Q9BUJ2
Q9BTA9
Q9BPX3
Q96FJ2
Q92973
Q8WU76
Q8ND83
Q7L5N1
Q16666
Q14444
Q01518
P68400
P63172
P62873
P60709
P49792
P49773
P30050
P28074
P25788
P22087
P20042
P17612
P13796
P12236
P11441
P06730
O75449
O43167
O14818
O00505
O00217
Q9Y333
Q9UJU6
Q9NV70
Q9BZK7
Q9BT78
Q9BSJ2
Q99733
Q96TA2
Q96IX5
Q96CU9
Q96AG4
Q8NEY8
Q86VP6
Q16795
Q14697
Q13367
Q06124
P84098
P82664
P63167
P62993
P62888
P62699
P61758
P56537
P46977
P42356
P40938
P40937
P36969
P30533
P30049
P25786
P22695
P12268
P09234
P07737
P05387
O95831
O75792
O15067
O00399
Q9Y512
Q9Y237
Q9UL46
Q9UI30
Q9UDW1
Q9NX63
Q9H0U3
Q9BTE1
Q9BT23
Q9BSJ8
Q99471
Q92797
Q92734
Q92552
Q8WX92
Q8IVH2
Q7L5D6
Q15185
Q13015
Q07866
Q01826
Q00534
P82933
P61353
P58546
P56134
P52756
P51970
P51571
P50395
P46060
P42566
P37268
P31040
P30622
P30048
P28072
P25787
P23458
P19388
P16949
P16401
P09211
P06753
P05455
P00492
O75717
O60869
O43324
O00233
Q9Y608
Q9Y5K6
Q9Y421
Q9Y2Z0
Q9Y2Q9
Q9Y277
Q9NZ32
Q9NWU2
Q9NSD9
Q9HAV4
Q9H8S9
Q9H871
Q9BUZ4
Q9BQE3
Q99615
Q96F63
Q96BD8
Q8WXX5
Q8TCJ2
Q86UP2
Q6Y7W6
Q5VTR2
Q5SSJ5
Q3ZCQ8
Q3ZCM7
Q3V6T2
Q13616
Q13422
Q13155
Q07666
Q03252
P82663
P63244
P63241
P62979
P62273
P61254
P55735
P55209
P54920
P52566
P52292
P51572
P50750
P50238
P49721
P49458
P43243
P38606
P32119
P31946
P28070
P26196
P11940
P08621
P08574
P08195
P05198
O75964
O75940
O75935
O00410
Q9Y676
Q9UQR1
Q9UJX3
Q9UBS4
Q9P2D3
Q9P0L0
Q9BSD7
Q9BRP4
Q96N67
Q96B97
Q92974
Q8WVM8
Q8N7H5
Q8IWS0
Q7L2H7
Q49A26
Q2M389
Q16401
Q16186
Q15181
Q15019
Q14974
Q14847
Q14739
Q14257
Q14165
Q14011
Q01813
Q00325
P83731
P82673
P63279
P63220
P63208
P63104
P62841
P62306
P61289
P60900
P56270
P55795
P55084
P55060
P51398
P48556
P48047
P47755
P46777
P45880
P43487
P42766
P34932
P33316
P32969
P31930
P30876
P30101
P27816
P23246
P20700
P20618
P10644
P05023
P04075
O95721
O60216
O43175
A5YKK6
A0FGR8
Q9Y266
Q9UI08
Q9UH99
Q9UBQ5
Q9UBN7
Q9P258
Q9NXV2
Q9HB71
Q9BZF1
Q92945
Q92556
Q8WU90
Q8IV53
Q16659
Q16181
Q15233
Q15021
Q15003
Q14204
Q14141
Q14103
Q13127
Q06323
P62937
P62851
P62847
P62753
P62266
P62258
P62249
P61981
P51610
P49902
P49257
P39656
P35813
P31153
P31146
P30153
